id,bairro,area_m2,quartos,banheiros,vagas,ano_construcao,distancia_km_centro,preco
41,Recreio,72,1,1,3,1986,24.2,479995
42,Flamengo,116,1,2,2,1988,9.2,945589
43,Tijuca,59,2,3,3,2013,22.5,344602
44,Leblon,118,3,2,1,2005,10.3,1344898
45,Botafogo,87,2,1,0,2004,7.8,619027
46,Barra da Tijuca,120,1,2,2,1970,15.3,918915
47,Tijuca,32,2,1,2,2012,17.0,251449
48,Barra da Tijuca,76,2,2,0,1956,22.3,610587
49,Ipanema,121,1,1,0,1993,4.3,1136312
50,Recreio,39,3,3,0,1990,21.6,281417
51,Ipanema,75,2,1,2,1973,0.2,666509
52,Botafogo,96,4,4,1,1994,4.7,830348
53,Tijuca,48,4,2,1,1959,21.2,424670
54,Ipanema,135,2,3,1,1998,10.3,1359791
55,Ipanema,86,2,3,1,1979,5.0,837333
56,Leblon,89,2,3,1,1987,3.6,1041507
57,Copacabana,85,3,1,2,2013,6.9,916930
58,Botafogo,74,4,1,1,1987,3.2,667619
59,Barra da Tijuca,77,2,1,1,1975,30.5,588505
60,Centro,38,1,1,2,2009,13.6,256699
61,Botafogo,111,1,1,0,1990,11.4,832056
62,Flamengo,98,2,4,0,1958,11.1,677943
63,Centro,45,3,2,1,1973,9.7,258365
64,Flamengo,83,3,1,1,1998,13.5,664816
65,Barra da Tijuca,152,1,1,1,1978,18.3,1129102
66,Barra da Tijuca,119,2,2,2,1957,11.0,922896
67,Ipanema,64,1,1,0,2008,7.7,733232
68,Recreio,79,2,1,0,1981,19.2,536984
69,Botafogo,24,1,3,3,2018,3.5,196046
70,Ipanema,51,1,2,0,2002,9.1,497156
71,Tijuca,64,3,2,1,1971,19.3,368258
72,Maracanã,78,4,1,1,1976,26.1,526374
73,Recreio,158,3,2,0,1975,16.9,1077621
74,Maracanã,71,4,1,1,2011,15.6,541990
75,Recreio,80,3,3,1,1993,16.3,603485
76,Copacabana,105,1,4,0,1961,10.1,914575
77,Maracanã,37,1,1,0,2008,31.0,184565
78,Botafogo,95,3,1,0,1952,2.8,786977
79,Maracanã,118,4,2,2,1962,8.5,712207
80,Leblon,76,1,1,0,2011,19.5,802942
81,Barra da Tijuca,55,1,1,1,1994,10.4,401926
82,Botafogo,47,2,1,0,2017,12.9,380125
83,Barra da Tijuca,144,2,3,0,2006,14.7,1140489
84,Leblon,58,3,2,0,1984,12.0,695839
85,Barra da Tijuca,72,2,3,0,1978,22.7,585633
86,Barra da Tijuca,85,3,1,1,1967,15.4,716195
87,Copacabana,102,4,2,0,1997,8.2,1008469
88,Recreio,90,1,1,3,1991,16.1,596928
89,Maracanã,86,2,1,2,2009,16.0,485838
90,Maracanã,55,3,1,2,2013,16.2,369310
91,Centro,54,1,4,1,1978,17.8,371568
92,Centro,73,1,1,2,1988,24.5,428381
93,Botafogo,89,1,2,3,1950,10.9,736721
94,Ipanema,47,1,2,2,1966,16.1,371292
95,Maracanã,47,1,3,0,1966,19.6,179466
96,Recreio,93,1,1,1,1960,27.8,575608
97,Ipanema,149,4,1,0,1995,5.5,1491849
98,Tijuca,40,1,2,2,1975,13.0,254455
99,Maracanã,94,1,2,2,1981,13.1,526184
100,Barra da Tijuca,70,4,3,1,1963,14.7,592447
101,Leblon,44,4,2,1,1984,5.4,532014
102,Copacabana,33,3,4,1,1985,7.6,342281
103,Botafogo,26,2,3,2,1993,5.1,268939
104,Flamengo,20,2,2,0,1951,9.3,140137
105,Recreio,36,1,2,0,1963,23.8,201865
106,Recreio,20,1,2,0,1986,20.5,50000
107,Copacabana,86,2,1,0,1951,10.2,743662
108,Centro,61,1,1,2,2000,22.6,378839
109,Barra da Tijuca,20,1,1,0,1999,32.7,175164
110,Ipanema,43,2,2,2,1979,20.0,453710
111,Barra da Tijuca,86,1,4,0,2015,20.5,686411
112,Recreio,85,1,1,3,1962,16.5,636467
113,Copacabana,79,1,1,1,2009,2.9,828565
114,Copacabana,108,1,1,2,1975,0.2,990338
115,Botafogo,117,3,1,0,1996,10.8,878666
116,Botafogo,121,2,1,0,1976,8.3,950193
117,Barra da Tijuca,103,2,1,0,1988,10.1,904256
118,Barra da Tijuca,82,2,1,1,1994,20.4,683885
119,Maracanã,82,3,3,0,2017,29.3,495732
120,Maracanã,58,1,2,0,1982,17.1,292533
121,Flamengo,112,1,2,1,1967,16.1,740149
122,Maracanã,20,1,2,0,1981,16.1,99356
123,Barra da Tijuca,109,2,3,0,1981,26.6,898804
124,Ipanema,78,2,1,0,1993,11.5,848600
125,Ipanema,20,1,3,1,2004,4.9,193542
126,Barra da Tijuca,112,3,1,3,2019,22.1,956057
127,Copacabana,80,1,1,0,2015,20.3,663021
128,Recreio,39,2,2,3,1998,18.4,318671
129,Leblon,86,1,1,1,1984,18.0,936903
130,Ipanema,48,5,1,2,1990,10.6,615368
131,Ipanema,90,1,1,0,1955,8.3,767362
132,Leblon,113,1,1,1,1980,5.2,1185280
133,Recreio,54,1,2,0,2001,22.3,372267
134,Tijuca,44,1,2,0,1963,16.0,206276
135,Flamengo,74,1,1,0,1988,7.1,476786
136,Centro,106,4,1,1,2001,14.6,644344
137,Botafogo,63,4,1,0,1958,10.8,516046
138,Ipanema,64,1,3,2,2009,13.1,651464
139,Flamengo,78,1,1,1,1973,16.6,467852
140,Botafogo,81,3,1,0,1957,13.0,600616
141,Recreio,69,3,1,1,1962,17.4,552161
142,Ipanema,90,1,2,1,1971,9.6,855036
143,Leblon,84,5,3,2,1971,12.1,998491
144,Ipanema,55,1,3,1,1968,13.0,541078
145,Flamengo,71,1,1,1,2013,1.9,525846
146,Centro,93,4,3,1,1983,21.9,621293
147,Leblon,72,1,2,0,1975,14.1,694125
148,Barra da Tijuca,22,1,1,0,1994,18.9,143059
149,Botafogo,129,1,1,0,1973,8.4,995890
150,Leblon,93,1,1,0,1979,8.4,1028175
151,Botafogo,86,1,1,3,1982,5.1,769117
152,Tijuca,43,4,2,2,2019,8.5,364326
153,Flamengo,57,2,3,3,1990,1.5,502277
154,Recreio,42,3,1,0,1956,19.8,295343
155,Barra da Tijuca,73,2,1,1,2006,19.2,563574
156,Maracanã,42,1,1,1,1997,10.2,220003
157,Recreio,87,1,1,0,1961,18.0,514786
158,Ipanema,66,2,3,1,1988,9.9,742408
159,Tijuca,92,1,1,0,1965,15.8,592710
160,Tijuca,44,2,3,0,1970,15.6,236787
161,Botafogo,32,4,2,0,1952,8.5,304946
162,Botafogo,101,2,1,1,1961,1.2,789993
163,Recreio,131,4,2,2,1989,23.4,1032815
164,Maracanã,80,2,1,1,1968,19.0,445509
165,Maracanã,73,3,2,0,1974,20.3,387380
166,Flamengo,92,2,1,3,1952,8.3,746878
167,Flamengo,57,2,2,3,1982,16.2,487872
168,Ipanema,51,1,1,2,2012,12.3,518339
169,Tijuca,57,4,1,3,2008,17.0,439479
170,Tijuca,46,1,1,1,1974,16.0,279245
171,Tijuca,96,4,2,1,1996,15.8,578127
172,Flamengo,67,1,1,1,2002,2.7,471251
173,Recreio,88,2,1,0,1997,22.5,594139
174,Ipanema,61,2,1,1,2010,2.4,637515
175,Leblon,71,4,1,1,2015,12.8,839101
176,Recreio,23,2,1,1,1957,17.1,120157
177,Recreio,68,1,1,1,1995,7.7,448075
178,Maracanã,98,3,2,1,2000,19.0,601135
179,Maracanã,132,1,1,1,2010,17.7,734325
180,Copacabana,121,3,1,0,1998,16.1,1154363
181,Ipanema,107,1,3,0,1990,11.0,1029845
182,Recreio,88,4,1,0,1952,14.9,625020
183,Ipanema,113,4,1,1,2011,8.6,1101640
184,Maracanã,97,1,2,0,2002,19.3,544145
185,Ipanema,47,2,1,1,1982,2.8,549437
186,Flamengo,168,1,3,1,1960,13.6,1131321
187,Flamengo,112,2,1,1,2008,8.6,812735
188,Centro,78,1,1,1,1999,13.8,431658
189,Flamengo,92,1,3,2,1996,6.5,700658
190,Ipanema,87,1,3,0,1995,2.4,874952
191,Maracanã,38,2,1,2,1973,18.8,194904
192,Flamengo,90,1,2,1,2003,13.4,675146
193,Flamengo,85,1,2,3,2001,16.1,672086
194,Centro,106,3,2,2,2000,25.6,716093
195,Maracanã,110,1,2,2,1971,17.0,627679
196,Tijuca,103,4,4,1,1979,20.6,691805
197,Flamengo,89,2,2,1,1952,10.4,696947
198,Ipanema,131,1,1,2,1983,11.3,1308343
199,Ipanema,70,1,2,1,2002,4.5,708506
200,Flamengo,111,1,1,1,1980,8.0,847885
201,Centro,129,1,1,3,2012,24.2,730830
202,Ipanema,122,1,1,1,1975,11.5,1225463
203,Copacabana,49,1,1,1,1964,13.6,438325
204,Tijuca,94,2,2,2,1972,20.8,568615
205,Flamengo,78,1,2,0,1997,9.0,609370
206,Leblon,66,1,1,0,1962,14.2,666822
207,Ipanema,94,2,2,0,1956,2.3,910683
208,Tijuca,57,3,2,0,2003,9.3,389009
209,Flamengo,43,4,2,0,1978,11.9,393198
210,Centro,74,3,2,0,2008,10.4,404892
211,Flamengo,104,2,1,0,1956,4.3,762448
212,Barra da Tijuca,98,3,1,0,1977,14.5,797724
213,Centro,80,1,3,0,2020,18.1,464832
214,Centro,45,1,3,3,2003,22.9,290097
215,Recreio,108,2,1,1,1964,23.6,728734
216,Flamengo,71,4,2,2,1999,5.9,637104
217,Tijuca,84,3,1,2,1975,13.9,520792
218,Copacabana,115,4,2,2,1993,11.1,1105832
219,Centro,60,2,1,1,1958,20.3,351959
220,Recreio,93,2,4,1,2002,24.9,589512
221,Ipanema,90,2,1,1,2005,11.3,932289
222,Centro,154,1,3,3,1957,15.2,815548
223,Maracanã,78,1,2,1,1985,16.4,456481
224,Centro,97,3,2,1,2009,14.6,599194
225,Centro,58,1,2,0,1987,15.1,352855
226,Recreio,115,2,2,0,1996,15.0,827467
227,Flamengo,64,2,1,0,1959,2.8,387486
228,Botafogo,66,1,3,2,1964,6.4,593888
229,Copacabana,62,1,1,0,2019,12.7,588234
230,Maracanã,98,2,1,1,1992,10.4,529920
231,Leblon,84,2,1,3,1992,17.2,907878
232,Barra da Tijuca,45,2,4,0,1961,13.0,324594
233,Copacabana,72,2,1,0,2018,11.5,688003
234,Botafogo,74,2,2,0,2012,9.7,592686
235,Centro,87,1,3,1,1998,17.8,434944
236,Centro,55,3,1,1,1969,15.3,342645
237,Leblon,120,1,2,2,2008,14.2,1359212
238,Copacabana,83,1,2,1,1971,0.8,806087
239,Copacabana,76,1,3,2,1976,6.7,667775
240,Flamengo,71,2,2,1,1990,12.0,510055
241,Barra da Tijuca,107,1,1,0,2018,20.6,819915
242,Centro,20,2,2,1,1995,19.7,50000
243,Maracanã,80,1,2,1,1977,26.6,453533
244,Tijuca,68,2,1,1,1960,11.5,441184
245,Tijuca,54,2,2,0,1987,18.0,336389
246,Copacabana,45,1,3,0,2017,7.5,451414
247,Centro,20,3,3,3,1958,20.7,205266
248,Flamengo,20,5,1,1,1995,6.9,155691
249,Copacabana,94,2,1,1,1959,10.1,890618
250,Ipanema,130,2,1,1,1964,10.2,1305367
251,Recreio,27,3,1,2,1997,8.6,220625
252,Maracanã,83,1,1,1,1956,20.7,477497
253,Recreio,48,3,3,1,2000,26.5,375671
254,Leblon,21,3,2,0,2015,12.2,185935
255,Botafogo,80,4,1,1,2013,13.9,754331
256,Botafogo,99,4,1,1,1980,11.0,840930
257,Recreio,25,2,2,0,1993,27.1,150424
258,Recreio,91,2,1,1,2011,17.5,588993
259,Tijuca,116,1,4,0,1972,9.2,710592
260,Tijuca,93,3,2,0,1976,10.4,602630
261,Maracanã,93,5,1,1,1970,20.6,599119
262,Tijuca,86,1,2,1,1957,20.3,434241
263,Tijuca,110,4,1,0,2008,13.9,700416
264,Flamengo,108,1,3,2,2018,9.2,872686
265,Recreio,81,2,3,1,2012,15.0,599667
266,Recreio,102,4,1,2,2008,23.1,811947
267,Centro,123,2,1,1,1995,19.8,728219
268,Barra da Tijuca,115,4,1,1,1985,18.9,956584
269,Barra da Tijuca,124,1,1,1,1995,21.8,940589
270,Barra da Tijuca,94,2,2,3,1969,13.9,710774
271,Copacabana,97,2,1,1,1959,9.6,867297
272,Botafogo,52,4,2,0,2009,5.8,512970
273,Botafogo,61,2,2,0,1951,8.9,489151
274,Flamengo,100,2,1,0,1966,9.6,722448
275,Centro,39,5,4,0,2012,6.4,384146
276,Maracanã,93,1,1,1,2011,18.2,555641
277,Recreio,108,4,1,1,2016,18.2,767861
278,Ipanema,59,4,1,2,2008,10.0,689103
279,Botafogo,42,2,1,3,2003,11.4,407591
280,Copacabana,25,1,4,2,1966,9.8,262985
281,Ipanema,110,1,1,0,1989,6.2,1082285
282,Botafogo,41,2,1,1,2003,4.1,388207
283,Copacabana,79,2,1,0,1992,8.4,682194
284,Centro,93,4,1,2,1960,13.0,537255
285,Ipanema,90,2,4,0,1992,9.0,863286
286,Centro,20,4,1,1,1997,15.7,145116
287,Botafogo,61,2,1,1,1973,5.8,578661
288,Centro,64,2,1,2,2002,22.2,363643
289,Maracanã,67,2,1,0,1998,21.0,348806
290,Copacabana,87,1,2,2,1954,5.9,775531
291,Maracanã,91,4,1,2,2002,19.0,520437
292,Tijuca,72,1,2,1,1988,19.3,382438
293,Tijuca,116,1,1,0,1980,16.2,671361
294,Maracanã,66,2,1,3,1957,12.1,406151
295,Tijuca,29,2,3,0,1984,3.8,196755
296,Ipanema,52,1,1,0,2013,0.3,566874
297,Recreio,65,1,3,0,1984,18.9,465770
298,Barra da Tijuca,65,2,3,1,2017,15.7,563691
299,Botafogo,39,2,3,3,1979,6.5,374379
300,Flamengo,124,3,1,1,1953,8.0,977530
301,Centro,73,2,1,0,1960,24.1,443044
302,Botafogo,108,1,3,1,1952,3.7,748263
303,Recreio,69,3,2,2,1990,22.7,491462
304,Flamengo,68,2,1,2,1965,1.5,591344
305,Flamengo,54,2,1,0,1976,13.2,366111
306,Maracanã,103,1,1,0,1962,20.2,529324
307,Copacabana,94,1,1,1,1965,5.3,883354
308,Botafogo,37,2,1,0,1970,11.0,329003
309,Botafogo,126,2,1,2,1983,9.7,1012699
310,Botafogo,41,3,1,3,1954,10.4,362130
311,Flamengo,82,1,1,0,1984,6.8,634660
312,Leblon,82,4,2,0,1980,12.6,941296
313,Maracanã,82,1,2,3,1953,13.8,435339
314,Centro,102,3,1,1,1959,12.7,628640
315,Barra da Tijuca,51,1,1,2,1990,21.5,365207
316,Recreio,126,1,1,0,1969,25.6,786686
317,Leblon,37,3,3,0,1967,8.9,441588
318,Centro,65,1,1,1,2005,21.2,417084
319,Botafogo,114,2,2,1,1961,17.2,909462
320,Maracanã,38,1,3,0,1976,25.7,162886
321,Copacabana,40,1,4,2,1950,8.9,354470
322,Maracanã,66,5,2,1,2019,26.3,469832
323,Copacabana,47,5,2,0,2001,9.6,567543
324,Leblon,74,1,1,0,1977,11.4,823330
325,Maracanã,74,1,1,0,1960,20.2,366991
326,Tijuca,57,1,4,0,1960,23.1,348587
327,Leblon,64,3,2,2,1972,7.2,772670
328,Recreio,22,1,1,0,1979,13.1,149020
329,Botafogo,47,3,2,3,1959,6.8,444845
330,Ipanema,24,2,1,1,1953,18.8,305847
331,Recreio,49,3,1,3,1986,12.9,428045
332,Botafogo,120,1,3,0,1950,3.1,807467
333,Barra da Tijuca,71,2,1,2,1970,25.0,512859
334,Ipanema,101,2,2,0,1982,5.9,1001362
335,Botafogo,56,1,1,2,2004,3.9,491518
336,Maracanã,63,1,2,0,2018,18.7,397019
337,Centro,20,1,1,1,1984,21.7,119941
338,Leblon,58,2,1,0,1957,16.5,689199
339,Recreio,91,1,1,0,1990,18.3,591615
340,Copacabana,103,2,4,0,1972,12.9,833077
341,Ipanema,46,1,2,2,2016,10.5,490435
342,Barra da Tijuca,90,1,1,0,2015,13.3,735073
343,Ipanema,119,4,3,0,1968,14.4,1217039
344,Copacabana,49,3,1,1,2003,8.8,482044
345,Leblon,45,2,2,0,2013,6.6,553899
346,Ipanema,107,1,2,0,1996,7.8,1025536
347,Ipanema,76,2,1,1,1998,7.5,757764
348,Flamengo,57,1,1,0,1990,1.2,422035
349,Tijuca,67,1,1,1,1968,14.9,433110
350,Barra da Tijuca,139,2,1,3,1968,20.2,1172855
351,Tijuca,79,1,1,0,1983,22.1,533100
352,Flamengo,34,2,1,0,1979,11.0,335968
353,Barra da Tijuca,112,1,4,0,2001,16.0,926739
354,Ipanema,113,2,1,0,2016,6.6,1150189
355,Leblon,63,2,3,1,1978,1.2,745638
356,Maracanã,54,1,1,0,1974,20.7,337381
357,Centro,51,1,1,1,2011,24.9,301057
358,Botafogo,77,3,2,2,2000,3.9,620395
359,Botafogo,163,5,2,1,1977,3.4,1322069
360,Leblon,84,4,3,2,2017,15.4,1055052
361,Barra da Tijuca,73,2,2,0,1997,17.8,612108
362,Botafogo,86,3,1,0,1972,0.2,722853
363,Ipanema,107,1,2,1,1962,15.3,1002861
364,Recreio,82,1,1,0,1974,17.1,519556
365,Recreio,28,2,2,1,1951,26.7,214154
366,Tijuca,91,2,1,1,2018,21.5,690829
367,Tijuca,54,1,1,2,1953,20.6,244603
368,Copacabana,80,1,1,1,2005,4.5,753215
369,Tijuca,54,4,3,2,2014,8.2,411596
370,Ipanema,102,1,2,1,2000,1.3,1014959
371,Tijuca,22,3,1,0,1980,20.4,219434
372,Centro,46,1,1,1,2005,13.2,229018
373,Ipanema,80,1,2,0,2010,14.5,721368
374,Copacabana,72,2,4,2,1968,3.3,709771
375,Copacabana,118,2,1,1,1972,8.1,1101470
376,Maracanã,107,2,1,2,1975,21.1,638802
377,Ipanema,122,6,4,0,2012,4.4,1327903
378,Barra da Tijuca,133,4,1,1,1962,24.5,1034312
379,Tijuca,79,3,1,1,1966,14.3,528505
380,Recreio,62,2,1,1,2007,19.6,510343
381,Maracanã,62,3,1,1,1953,16.9,401544
382,Recreio,82,2,1,1,1995,17.7,591232
383,Flamengo,21,1,4,1,2003,10.4,155389
384,Centro,71,1,2,1,2020,19.5,479861
385,Centro,63,1,1,1,1951,30.6,301846
386,Centro,20,2,1,0,1989,21.8,83029
387,Ipanema,89,5,1,1,1961,4.4,942330
388,Flamengo,108,3,1,2,2013,10.7,895157
389,Flamengo,141,1,1,0,1960,10.9,996684
390,Leblon,81,1,1,0,1983,6.2,828785
391,Leblon,54,1,3,0,1955,7.9,581291
392,Recreio,44,3,1,1,1963,20.1,357814
393,Tijuca,20,4,1,1,2011,21.8,196064
394,Ipanema,67,1,1,0,2019,1.2,695403
395,Barra da Tijuca,120,3,1,2,1972,17.3,987799
396,Flamengo,58,1,2,0,1967,1.8,375248
397,Flamengo,82,5,2,1,2014,6.4,699063
398,Recreio,49,4,2,1,1977,23.7,390367
399,Ipanema,63,1,2,1,2001,12.7,589385
400,Ipanema,85,3,1,0,2019,0.3,881965
401,Centro,26,2,4,0,1993,16.4,220267
402,Copacabana,68,1,2,1,2007,10.8,627055
403,Botafogo,38,3,1,1,1959,10.8,393691
404,Recreio,102,1,4,1,1953,12.4,653234
405,Ipanema,50,1,1,0,1966,11.7,447424
406,Leblon,71,2,2,0,2017,6.8,798838
407,Barra da Tijuca,84,2,2,0,2006,16.2,705644
408,Botafogo,84,2,4,0,2005,11.1,680152
409,Centro,82,1,2,2,1967,24.3,465263
410,Botafogo,36,2,1,0,1983,1.9,283968
411,Maracanã,72,2,1,1,1979,22.9,378141
412,Botafogo,86,2,1,2,1998,12.5,705167
413,Maracanã,108,4,1,1,1968,10.2,625942
414,Recreio,56,2,1,0,1993,16.7,365601
415,Maracanã,52,1,4,3,1951,25.7,371503
416,Copacabana,61,3,1,0,1974,8.0,627530
417,Barra da Tijuca,73,1,1,1,1979,17.3,557343
418,Copacabana,90,1,1,0,1984,1.2,840143
419,Botafogo,52,1,1,1,1967,4.4,447540
420,Copacabana,114,4,1,1,2000,11.8,1085354
421,Botafogo,97,1,1,0,2004,6.4,740809
422,Copacabana,59,1,2,2,1966,11.9,501285
423,Leblon,52,1,2,1,1999,9.0,508506
424,Leblon,53,1,1,0,1997,4.4,542849
425,Ipanema,64,1,2,0,1973,4.6,553564
426,Flamengo,20,1,1,2,1962,15.0,133930
427,Barra da Tijuca,94,3,2,3,2006,11.6,881399
428,Barra da Tijuca,123,2,1,0,1960,14.0,976544
429,Centro,85,1,1,0,1990,29.4,469626
430,Ipanema,50,1,1,3,2019,11.0,531267
431,Botafogo,84,4,1,1,2013,3.9,687233
432,Ipanema,79,1,2,1,2018,12.4,808308
433,Botafogo,55,1,1,0,1991,9.0,468654
434,Flamengo,63,2,1,1,1953,15.3,465204
435,Botafogo,23,1,1,2,1984,2.7,212671
436,Leblon,100,1,1,3,2010,11.4,1118222
437,Tijuca,106,3,2,0,1952,20.7,556852
438,Flamengo,20,4,2,1,2012,20.3,236919
439,Ipanema,93,1,2,0,1986,2.1,899137
440,Barra da Tijuca,56,1,1,0,1978,21.7,488196
441,Barra da Tijuca,100,1,1,0,1974,23.8,790013
442,Maracanã,116,1,1,2,2015,19.0,615567
443,Ipanema,61,3,1,1,2013,11.8,690744
444,Copacabana,75,1,2,0,2008,1.8,716477
445,Recreio,106,3,1,2,2020,15.7,791386
446,Maracanã,69,3,1,2,1950,14.1,411567
447,Tijuca,100,2,1,2,2017,8.8,707065
448,Tijuca,37,1,1,0,1978,17.7,193603
449,Leblon,90,4,1,2,1961,3.6,960711
450,Leblon,73,1,3,1,1967,10.1,763788
451,Ipanema,46,1,2,1,1963,12.4,480682
452,Botafogo,80,3,4,2,2016,6.6,675225
453,Leblon,55,1,1,1,1993,3.9,660043
454,Ipanema,101,1,1,2,1983,4.9,1002158
455,Tijuca,24,1,2,1,2015,21.5,172593
456,Ipanema,69,1,1,1,1979,1.7,679632
457,Recreio,93,2,3,1,1978,13.7,699613
458,Leblon,57,3,1,0,2018,17.2,719237
459,Copacabana,55,1,3,0,1951,8.3,546766
460,Recreio,63,1,1,1,1955,21.7,406360
461,Tijuca,72,2,1,0,1958,22.7,408598
462,Ipanema,40,3,2,1,1954,10.3,430120
463,Ipanema,76,1,1,3,1964,3.3,703983
464,Centro,61,1,1,0,2015,22.8,361019
465,Centro,84,2,1,1,1993,13.6,537677
466,Barra da Tijuca,74,1,1,2,1960,19.4,539954
467,Ipanema,147,1,1,0,1951,13.9,1347765
468,Centro,58,1,2,0,1974,26.0,308208
469,Tijuca,104,2,1,2,2006,15.3,685557
470,Flamengo,90,3,3,0,1988,7.4,694314
471,Recreio,88,2,1,2,1953,18.6,558408
472,Leblon,82,1,1,3,2007,3.6,967110
473,Leblon,57,2,3,3,1974,13.5,650484
474,Flamengo,63,1,1,1,1956,10.4,379804
475,Barra da Tijuca,68,2,1,1,1974,15.5,588572
476,Tijuca,47,2,1,1,1975,20.8,342524
477,Maracanã,115,2,1,1,1973,13.6,643683
478,Ipanema,69,1,2,0,2003,6.1,682256
479,Flamengo,67,4,2,1,1951,3.7,608433
480,Tijuca,114,4,1,2,1999,17.6,741684
481,Recreio,78,1,1,0,1988,21.1,528621
482,Leblon,51,3,2,1,1984,8.7,577817
483,Copacabana,76,2,1,0,1972,14.3,664866
484,Copacabana,197,1,1,0,1973,8.3,1751703
485,Centro,50,1,1,1,1954,11.9,273639
486,Barra da Tijuca,60,2,2,0,2002,15.4,552582
487,Maracanã,70,3,1,1,2020,18.0,430179
488,Centro,48,2,1,0,1974,11.5,280160
489,Barra da Tijuca,67,1,4,0,1997,13.5,549014
490,Barra da Tijuca,75,6,3,2,1982,12.4,710923
491,Copacabana,89,1,2,2,2004,7.7,799951
492,Tijuca,118,3,1,1,1966,17.8,761488
493,Tijuca,47,4,2,0,1995,13.2,417577
494,Recreio,55,2,1,2,2005,15.9,397578
495,Botafogo,84,1,4,1,2013,11.5,665189
496,Maracanã,68,5,1,3,1977,20.6,515849
497,Barra da Tijuca,114,4,1,3,1977,18.1,1025892
498,Maracanã,116,3,3,1,1976,14.7,566148
499,Centro,127,5,1,1,2009,7.4,796693
500,Recreio,106,4,2,0,2003,19.5,733535
